Id. zařízení;Typ;Název zařízení;Obec;Ulice;Č.p.;Č.o.;M.část.;PSČ;Cizí vyučovací jazyk;Kapacita;Platnost zařízení;address
181096706;L13;Školní jídelna - výdejna;Horní Stropnice;;193;;Horní Stropnice;37335;;62;Platné;Horní Stropnice, 193
107530716;A00;Mateřská škola;Olešnice;;14;;Olešnice;37331;;46;Platné;Olešnice, 14
107720116;B00;Základní škola;Olešnice;;17;;Olešnice;37331;;55;Platné;Olešnice, 17
114200921;G21;Školní družina;Olešnice;;17;;Olešnice;37331;;44;Platné;Olešnice, 17
114200939;L11;Školní jídelna;Olešnice;;17;;Olešnice;37331;;120;Platné;Olešnice, 17
107530864;A00;Mateřská škola;Svatý Jan nad Malší;;2;;Svatý Jan nad Malší;37323;;25;Platné;Svatý Jan nad Malší, 2
107720167;B00;Základní škola;Svatý Jan nad Malší;;2;;Svatý Jan nad Malší;37323;;60;Platné;Svatý Jan nad Malší, 2
114200971;G21;Školní družina;Svatý Jan nad Malší;;2;;Svatý Jan nad Malší;37323;;50;Platné;Svatý Jan nad Malší, 2
102475393;L11;Školní jídelna;Svatý Jan nad Malší;;13;;Svatý Jan nad Malší;37323;;100;Platné;Svatý Jan nad Malší, 13
181136791;L13;Školní jídelna - výdejna;Svatý Jan nad Malší;;2;;Svatý Jan nad Malší;37323;;25;Platné;Svatý Jan nad Malší, 2
107530481;A00;Mateřská škola;Dubné;;127;;Dubné;37384;;108;Platné;Dubné, 127
107720370;B00;Základní škola;Dubné;;35;;Dubné;37384;;450;Platné;Dubné, 35
114200661;G21;Školní družina;Dubné;;91;;Dubné;37384;;150;Platné;Dubné, 91
102475512;L11;Školní jídelna;Dubné;;35;;Dubné;37384;;600;Platné;Dubné, 35
163000107;L13;Školní jídelna - výdejna;Dubné;;127;;Dubné;37384;;120;Platné;Dubné, 127
107531020;A00;Mateřská škola;Střížov;;27;;Střížov;37401;;28;Platné;Střížov, 27
102675996;B00;Základní škola;Střížov;;27;;Střížov;37401;;57;Platné;Střížov, 27
114200815;G21;Školní družina;Střížov;;27;;Střížov;37401;;36;Platné;Střížov, 27
102463981;L11;Školní jídelna;Střížov;;27;;Střížov;37401;;85;Platné;Střížov, 27
107530724;A00;Mateřská škola;Olešník;;87;;Olešník;37350;;56;Platné;Olešník, 87
107720124;B00;Základní škola;Olešník;;16;;Olešník;37350;;60;Platné;Olešník, 16
114200947;G21;Školní družina;Olešník;;16;;Olešník;37350;;30;Platné;Olešník, 16
102475377;L11;Školní jídelna;Olešník;;87;;Olešník;37350;;100;Platné;Olešník, 87
107530643;A00;Mateřská škola;Litvínovice;;80;;Šindlovy Dvory;37001;;114;Platné;Litvínovice, 80
107720175;B00;Základní škola;Litvínovice;;40;;Šindlovy Dvory;37001;;240;Platné;Litvínovice, 40
114200980;G21;Školní družina;Litvínovice;;40;;Šindlovy Dvory;37001;;83;Platné;Litvínovice, 40
102463620;L11;Školní jídelna;Litvínovice;;80;;Šindlovy Dvory;37001;;350;Platné;Litvínovice, 80
181075440;L13;Školní jídelna - výdejna;Litvínovice;;39;;Litvínovice;37001;;44;Platné;Litvínovice, 39
107530571;A00;Mateřská škola;Jílovice;;81;;Jílovice;37332;;35;Platné;Jílovice, 81
107720051;B00;Základní škola;Jílovice;;81;;Jílovice;37332;;94;Platné;Jílovice, 81
114200581;G21;Školní družina;Jílovice;;81;;Jílovice;37332;;50;Platné;Jílovice, 81
102475342;L11;Školní jídelna;Jílovice;;81;;Jílovice;37332;;220;Platné;Jílovice, 81
107530783;A00;Mateřská škola;Rudolfov;Adamovská;490;13;Rudolfov;37371;;120;Platné;Rudolfov, Adamovská 490/13
107720469;B00;Základní škola;Rudolfov;Na točně;192;5;Rudolfov;37371;;569;Platné;Rudolfov, Na točně 192/5
114200742;G21;Školní družina;Rudolfov;Na točně;26;3;Rudolfov;37371;;220;Platné;Rudolfov, Na točně 26/3
102475601;L11;Školní jídelna;Rudolfov;Na točně;26;3;Rudolfov;37371;;730;Platné;Rudolfov, Na točně 26/3
107530759;A00;Mateřská škola;Římov;Školní;176;;Římov;37324;;49;Platné;Římov, Školní 176
107720141;B00;Základní škola;Římov;Školní;63;;Římov;37324;;58;Platné;Římov, Školní 63
114200955;G21;Školní družina;Římov;Školní;63;;Římov;37324;;35;Platné;Římov, Školní 63
102475385;L11;Školní jídelna;Římov;Školní;176;;Římov;37324;;100;Platné;Římov, Školní 176
107531071;A00;Mateřská škola;Ševětín;Vlkovská;293;;Ševětín;37363;;125;Platné;Ševětín, Vlkovská 293
107720493;B00;Základní škola;Ševětín;Školská;189;;Ševětín;37363;;400;Platné;Ševětín, Školská 189
114200777;G21;Školní družina;Ševětín;Školská;189;;Ševětín;37363;;125;Platné;Ševětín, Školská 189
102475636;L11;Školní jídelna;Ševětín;Školská;189;;Ševětín;37363;;500;Platné;Ševětín, Školská 189
163103224;L13;Školní jídelna - výdejna;Ševětín;Vlkovská;293;;Ševětín;37363;;125;Platné;Ševětín, Vlkovská 293
114201064;A00;Mateřská škola;Dříteň;;265;;Dříteň;37351;;99;Platné;Dříteň, 265
107720361;B00;Základní škola;Dříteň;;153;;Dříteň;37351;;230;Platné;Dříteň, 153
114200653;G21;Školní družina;Dříteň;;61;;Dříteň;37351;;75;Platné;Dříteň, 61
102475504;L11;Školní jídelna;Dříteň;;153;;Dříteň;37351;;300;Platné;Dříteň, 153
181041855;L13;Školní jídelna - výdejna;Dříteň;;265;;Dříteň;37351;;99;Platné;Dříteň, 265
107720094;B00;Základní škola;Nedabyle;;15;;Nedabyle;37006;;80;Platné;Nedabyle, 15
114200891;G21;Školní družina;Nedabyle;;15;;Nedabyle;37006;;60;Platné;Nedabyle, 15
114200904;L13;Školní jídelna - výdejna;Nedabyle;;15;;Nedabyle;37006;;93;Platné;Nedabyle, 15
181106621;A00;Mateřská škola;Nedabyle;;15;;Nedabyle;37006;;15;Platné;Nedabyle, 15
107530627;A00;Mateřská škola;Lišov;Nová;664;12;Lišov;37372;;214;Platné;Lišov, Nová 664/12
107720434;B00;Základní škola;Lišov;Nová;611;14;Lišov;37372;;600;Platné;Lišov, Nová 611/14
114200726;G21;Školní družina;Lišov;Nová;611;14;Lišov;37372;;250;Platné;Lišov, Nová 611/14
102475571;L11;Školní jídelna;Lišov;Nová;611;14;Lišov;37372;;850;Platné;Lišov, Nová 611/14
163101957;L13;Školní jídelna - výdejna;Lišov;Nová;664;12;Lišov;37372;;214;Platné;Lišov, Nová 664/12
107530651;A00;Mateřská škola;Zahájí;;6;;Zahájí;37348;;37;Platné;Zahájí, 6
107720205;B00;Základní škola;Zahájí;;8;;Zahájí;37348;;40;Platné;Zahájí, 8
114201005;G21;Školní družina;Zahájí;;8;;Zahájí;37348;;40;Platné;Zahájí, 8
102475415;L11;Školní jídelna;Zahájí;;6;;Zahájí;37348;;100;Platné;Zahájí, 6
107530546;A00;Mateřská škola;Hosín;;41;;Hosín;37341;;35;Platné;Hosín, 41
108023613;B00;Základní škola;Hosín;;41;;Hosín;37341;;61;Platné;Hosín, 41
114200238;G21;Školní družina;Hosín;;41;;Hosín;37341;;55;Platné;Hosín, 41
150071353;L13;Školní jídelna - výdejna;Hosín;;41;;Hosín;37341;;85;Platné;Hosín, 41
114201102;A00;Mateřská škola;Štěpánovice;Nová;166;;Štěpánovice;37373;;92;Platné;Štěpánovice, Nová 166
102675961;B00;Základní škola;Štěpánovice;Nová;166;;Štěpánovice;37373;;70;Platné;Štěpánovice, Nová 166
114200807;G21;Školní družina;Štěpánovice;Nová;166;;Štěpánovice;37373;;70;Platné;Štěpánovice, Nová 166
150009283;L11;Školní jídelna;Štěpánovice;Nová;166;;Štěpánovice;37373;;138;Platné;Štěpánovice, Nová 166
163101230;L13;Školní jídelna - výdejna;Zvíkov;Lišovská;26;;Zvíkov;37372;;25;Platné;Zvíkov, Lišovská 26
151040630;B00;Základní škola;České Budějovice;M. Chlajna;1347;23;České Budějovice 2;37005;;270;Platné;České Budějovice, M. Chlajna 1347/23
181000172;G21;Školní družina;České Budějovice;M. Chlajna;1347;23;České Budějovice 2;37005;;85;Platné;České Budějovice, M. Chlajna 1347/23
181004356;A00;Mateřská škola;Rudolfov;Hornická;40;5;Rudolfov;37371;;50;Platné;Rudolfov, Hornická 40/5
181012219;L13;Školní jídelna - výdejna;Rudolfov;Hornická;40;5;Rudolfov;37371;;46;Platné;Rudolfov, Hornická 40/5
181080761;G22;Školní klub;České Budějovice;M. Chlajna;1347;23;České Budějovice 2;37005;;40;Platné;České Budějovice, M. Chlajna 1347/23
181096790;C00;Střední škola;České Budějovice;Senovážné nám.;231;7;České Budějovice 6;37001;;120;Platné;České Budějovice, Senovážné nám. 231/7
163000182;A00;Mateřská škola;Hluboká nad Vltavou;Ruská;527;;Hluboká nad Vltavou;37341;;198;Platné;Hluboká nad Vltavou, Ruská 527
163000191;L11;Školní jídelna;Hluboká nad Vltavou;Masarykova;62;;Hluboká nad Vltavou;37341;;200;Platné;Hluboká nad Vltavou, Masarykova 62
163101876;L13;Školní jídelna - výdejna;Hluboká nad Vltavou;Masarykova;56;;Hluboká nad Vltavou;37341;;142;Platné;Hluboká nad Vltavou, Masarykova 56
163000221;A00;Mateřská škola;Včelná;Sokolovského;422;;Včelná;37382;;140;Platné;Včelná, Sokolovského 422
163000239;L11;Školní jídelna;Včelná;Sokolovského;422;;Včelná;37382;;140;Platné;Včelná, Sokolovského 422
163103275;A00;Mateřská škola;Lipí;;103;;Lipí;37384;;58;Platné;Lipí, 103
163103283;L11;Školní jídelna;Lipí;;103;;Lipí;37384;;60;Platné;Lipí, 103
163103321;A00;Mateřská škola;Boršov nad Vltavou;Ke Školce;30;;Boršov nad Vltavou;37382;;159;Platné;Boršov nad Vltavou, Ke Školce 30
163103330;L11;Školní jídelna;Boršov nad Vltavou;Ke Školce;30;;Boršov nad Vltavou;37382;;350;Platné;Boršov nad Vltavou, Ke Školce 30
181047217;L13;Školní jídelna - výdejna;Vrábče;Ves-Ke Školce;230;;Vrábče;37001;;47;Platné;Vrábče, Ves-Ke Školce 230
181006324;A00;Mateřská škola;České Budějovice;U Jeslí;198;13;České Budějovice 4;37001;;12;Platné;České Budějovice, U Jeslí 198/13
181006961;B00;Základní škola;České Budějovice;U Jeslí;198;13;České Budějovice 4;37001;;36;Platné;České Budějovice, U Jeslí 198/13
181011719;B00;Základní škola;Petříkov;;8;;Petříkov;37401;;40;Platné;Petříkov, 8
181011883;G21;Školní družina;Petříkov;;8;;Petříkov;37401;;30;Platné;Petříkov, 8
181011891;L13;Školní jídelna - výdejna;Petříkov;;8;;Petříkov;37401;;50;Platné;Petříkov, 8
181109271;A00;Mateřská škola;Petříkov;;8;;Petříkov;37401;;15;Platné;Petříkov, 8
181033356;A00;Mateřská škola;České Budějovice;B. Němcové;752;74;České Budějovice 7;37001;;20;Platné;České Budějovice, B. Němcové 752/74
181033364;L13;Školní jídelna - výdejna;České Budějovice;B. Němcové;752;74;České Budějovice 7;37001;;20;Platné;České Budějovice, B. Němcové 752/74
181044706;B00;Základní škola;České Budějovice;nám. Bratří Čapků;1267;10;České Budějovice 7;37007;;78;Platné;České Budějovice, nám. Bratří Čapků 1267/10
181098423;G21;Školní družina;České Budějovice;nám. Bratří Čapků;1267;10;České Budějovice 7;37007;;30;Platné;České Budějovice, nám. Bratří Čapků 1267/10
181041031;A00;Mateřská škola;Strážkovice;;78;;Strážkovice;37401;;28;Platné;Strážkovice, 78
181041049;L11;Školní jídelna;Strážkovice;;78;;Strážkovice;37401;;28;Platné;Strážkovice, 78
